1731361416.641524,10.10.1.100:58212,,,10,41,0.454
1731361416.688414,10.10.1.100:58212,,,10,41,0.454
1731361416.723428,10.10.1.100:58230,,,10,14517,0.311
1731361416.723937,10.10.1.100:58218,,,12,20309,0.475
1731361416.724668,10.10.1.100:58228,,,10,14517,0.31
1731361416.753827,10.10.1.100:58230,,,10,15965,0.311
1731361416.754248,10.10.1.100:58218,,,14,26101,4.877
1731361416.754999,10.10.1.100:58228,,,10,15965,0.31
1731361416.784056,10.10.1.100:58230,,,10,15965,0.311
1731361416.784545,10.10.1.100:58218,,,17,34789,19.8
1731361416.785235,10.10.1.100:58228,,,10,15965,0.31
1731361416.814655,10.10.1.100:58230,,,10,15965,0.311
1731361416.815103,10.10.1.100:58218,,,19,40581,33.838
1731361416.815864,10.10.1.100:58228,,,10,15965,0.31
1731361416.845217,10.10.1.100:58230,,,10,15965,0.311
1731361416.845677,10.10.1.100:58218,,,20,43477,41.791
1731361416.846402,10.10.1.100:58228,,,12,20309,27.473
1731361416.875571,10.10.1.100:58230,,,10,15965,0.311
1731361416.876014,10.10.1.100:58218,,,20,43477,41.791
1731361416.876806,10.10.1.100:58228,,,14,26101,53.94
1731361416.906043,10.10.1.100:58230,,,10,15965,0.311
1731361416.906505,10.10.1.100:58218,,,20,43477,41.791
1731361416.907317,10.10.1.100:58228,,,17,34789,92.588
1731361416.936535,10.10.1.100:58230,1,1,1,5,0.311
1731361416.936968,10.10.1.100:58218,,,20,43477,41.791
1731361416.937747,10.10.1.100:58228,,,19,40581,117.939
1731361416.966930,10.10.1.100:58230,0,1,12,21757,55.848
1731361416.967399,10.10.1.100:58218,,,20,43477,41.791
1731361416.968230,10.10.1.100:58228,,,20,43477,130.512
1731361416.997661,10.10.1.100:58230,0,1,14,27549,104.066
1731361416.998109,10.10.1.100:58218,1,1,1,10,41.791
1731361416.998913,10.10.1.100:58228,,,20,43477,130.512
1731361417.028194,10.10.1.100:58230,0,1,17,36237,166.175
1731361417.028702,10.10.1.100:58218,1,1,1,10,41.791
1731361417.029400,10.10.1.100:58228,,,20,43477,130.512
1731361417.058528,10.10.1.100:58230,0,1,19,42029,202.661
1731361417.058968,10.10.1.100:58218,1,1,1,10,41.791
1731361417.059790,10.10.1.100:58228,,,20,43477,130.512
1731361417.089052,10.10.1.100:58230,0,1,20,44925,219.784
1731361417.089513,10.10.1.100:58218,0,1,22,50717,115.736
1731361417.090276,10.10.1.100:58228,,,20,43477,130.512
1731361417.119444,10.10.1.100:58230,0,1,20,44925,219.784
1731361417.119910,10.10.1.100:58218,0,1,25,59405,204.977
1731361417.120729,10.10.1.100:58228,,,20,43477,130.512
1731361417.149982,10.10.1.100:58230,0,1,21,47821,242.943
1731361417.150405,10.10.1.100:58218,0,1,25,59405,204.977
1731361417.151176,10.10.1.100:58228,,,21,46373,166.32
1731361417.180416,10.10.1.100:58230,0,1,21,47821,242.943
